Year,Week,DoW,Date,Time,Home Team,Away Team,Line,Actual Total,Home Score,Away Score
2022,1,Thu,September 8,8:20 PM,Buffalo Bills,Los Angeles Rams,,,,
2022,1,Sun,September 11,1:00 PM,New Orleans Saints,Atlanta Falcons,,,,
2022,1,Sun,September 11,1:00 PM,Cleveland Browns,Carolina Panthers,,,,
2022,1,Sun,September 11,1:00 PM,San Francisco 49ers,Chicago Bears,,,,
2022,1,Sun,September 11,1:00 PM,Pittsburgh Steelers,Cincinnati Bengals,,,,
2022,1,Sun,September 11,1:00 PM,Philadelphia Eagles,Detroit Lions,,,,
2022,1,Sun,September 11,1:00 PM,Indianapolis Colts,Houston Texans,,,,
2022,1,Sun,September 11,1:00 PM,New England Patriots,Miami Dolphins,,,,
2022,1,Sun,September 11,1:00 PM,Baltimore Ravens,New York Jets,,,,
2022,1,Sun,September 11,1:00 PM,Jacksonville Jaguars,Washington Football Team,,,,
2022,1,Sun,September 11,4:25 PM,Kansas City Chiefs,Arizona Cardinals,,,,
2022,1,Sun,September 11,4:25 PM,Green Bay Packers,Minnesota Vikings,,,,
2022,1,Sun,September 11,4:25 PM,New York Giants,Tennessee Titans,,,,
2022,1,Sun,September 11,4:25 PM,Las Vegas Raiders,Los Angeles Chargers,,,,
2022,1,Sun,September 11,8:20 PM,Tampa Bay Buccaneers,Dallas Cowboys,,,,
2022,1,Mon,September 12,8:20 PM,Denver Broncos,Seattle Seahawks,,,,
2022,2,Thu,September 15,8:15 PM,Los Angeles Chargers,Kansas City Chiefs,,,,
2022,2,Sun,September 18,1:00 PM,New York Jets,Cleveland Browns,,,,
2022,2,Sun,September 18,1:00 PM,Washington Football Team,Detroit Lions,,,,
2022,2,Sun,September 18,1:00 PM,Indianapolis Colts,Jacksonville Jaguars,,,,
2022,2,Sun,September 18,1:00 PM,Tampa Bay Buccaneers,New Orleans Saints,,,,
2022,2,Sun,September 18,1:00 PM,Carolina Panthers,New York Giants,,,,
2022,2,Sun,September 18,1:00 PM,New England Patriots,Pittsburgh Steelers,,,,
2022,2,Sun,September 18,1:00 PM,Miami Dolphins,Baltimore Ravens,,,,
2022,2,Sun,September 18,4:05 PM,Atlanta Falcons,Los Angeles Rams,,,,
2022,2,Sun,September 18,4:05 PM,Seattle Seahawks,San Francisco 49ers,,,,
2022,2,Sun,September 18,4:25 PM,Cincinnati Bengals,Dallas Cowboys,,,,
2022,2,Sun,September 18,4:25 PM,Houston Texans,Denver Broncos,,,,
2022,2,Sun,September 18,4:25 PM,Arizona Cardinals,Las Vegas Raiders,,,,
2022,2,Sun,September 18,8:20 PM,Chicago Bears,Green Bay Packers,,,,
2022,2,Mon,September 19,7:15 PM,Tennessee Titans,Buffalo Bills,,,,
2022,2,Mon,September 19,8:30 PM,Minnesota Vikings,Philadelphia Eagles,,,,
2022,3,Thu,September 22,8:15 PM,Pittsburgh Steelers,Cleveland Browns,,,,
2022,3,Sun,September 25,1:00 PM,New Orleans Saints,Carolina Panthers,,,,
2022,3,Sun,September 25,1:00 PM,Houston Texans,Chicago Bears,,,,
2022,3,Sun,September 25,1:00 PM,Kansas City Chiefs,Indianapolis Colts,,,,
2022,3,Sun,September 25,1:00 PM,Buffalo Bills,Miami Dolphins,,,,
2022,3,Sun,September 25,1:00 PM,Detroit Lions,Minnesota Vikings,,,,
2022,3,Sun,September 25,1:00 PM,Baltimore Ravens,New England Patriots,,,,
2022,3,Sun,September 25,1:00 PM,Cincinnati Bengals,New York Jets,,,,
2022,3,Sun,September 25,1:00 PM,Las Vegas Raiders,Tennessee Titans,,,,
2022,3,Sun,September 25,1:00 PM,Philadelphia Eagles,Washington Football Team,,,,
2022,3,Sun,September 25,4:05 PM,Jacksonville Jaguars,Los Angeles Chargers,,,,
2022,3,Sun,September 25,4:25 PM,Los Angeles Rams,Arizona Cardinals,,,,
2022,3,Sun,September 25,4:25 PM,Atlanta Falcons,Seattle Seahawks,,,,
2022,3,Sun,September 25,4:25 PM,Green Bay Packers,Tampa Bay Buccaneers,,,,
2022,3,Sun,September 25,8:20 PM,San Francisco 49ers,Denver Broncos,,,,
2022,3,Mon,September 26,8:15 PM,Dallas Cowboys,New York Giants,,,,
2022,4,Thu,September 29,8:15 PM,Miami Dolphins,Cincinnati Bengals,,,,
2022,4,Sun,October 2,9:30 AM,Minnesota Vikings,New Orleans Saints,,,,
2022,4,Sun,October 2,1:00 PM,Cleveland Browns,Atlanta Falcons,,,,
2022,4,Sun,October 2,1:00 PM,Tennessee Titans,Indianapolis Colts,,,,
2022,4,Sun,October 2,1:00 PM,Washington Football Team,Dallas Cowboys,,,,
2022,4,Sun,October 2,1:00 PM,Seattle Seahawks,Detroit Lions,,,,
2022,4,Sun,October 2,1:00 PM,Los Angeles Chargers,Houston Texans,,,,
2022,4,Sun,October 2,1:00 PM,Chicago Bears,New York Giants,,,,
2022,4,Sun,October 2,1:00 PM,Jacksonville Jaguars,Philadelphia Eagles,,,,
2022,4,Sun,October 2,1:00 PM,New York Jets,Pittsburgh Steelers,,,,
2022,4,Sun,October 2,1:00 PM,Buffalo Bills,Baltimore Ravens,,,,
2022,4,Sun,October 2,4:05 PM,Arizona Cardinals,Carolina Panthers,,,,
2022,4,Sun,October 2,4:25 PM,New England Patriots,Green Bay Packers,,,,
2022,4,Sun,October 2,4:25 PM,Denver Broncos,Las Vegas Raiders,,,,
2022,4,Sun,October 2,8:20 PM,Kansas City Chiefs,Tampa Bay Buccaneers,,,,
2022,4,Mon,October 3,8:15 PM,Los Angeles Rams,San Francisco 49ers,,,,
2022,5,Thu,October 6,8:15 PM,Indianapolis Colts,Denver Broncos,,,,
2022,5,Sun,October 9,9:30 AM,New York Giants,Green Bay Packers,,,,
2022,5,Sun,October 9,1:00 PM,Pittsburgh Steelers,Buffalo Bills,,,,
2022,5,Sun,October 9,1:00 PM,Los Angeles Chargers,Cleveland Browns,,,,
2022,5,Sun,October 9,1:00 PM,Houston Texans,Jacksonville Jaguars,,,,
2022,5,Sun,October 9,1:00 PM,Chicago Bears,Minnesota Vikings,,,,
2022,5,Sun,October 9,1:00 PM,Seattle Seahawks,New Orleans Saints,,,,
2022,5,Sun,October 9,1:00 PM,Detroit Lions,New England Patriots,,,,
2022,5,Sun,October 9,1:00 PM,Miami Dolphins,New York Jets,,,,
2022,5,Sun,October 9,1:00 PM,Atlanta Falcons,Tampa Bay Buccaneers,,,,
2022,5,Sun,October 9,1:00 PM,Tennessee Titans,Washington Football Team,,,,
2022,5,Sun,October 9,4:05 PM,San Francisco 49ers,Carolina Panthers,,,,
2022,5,Sun,October 9,4:25 PM,Philadelphia Eagles,Arizona Cardinals,,,,
2022,5,Sun,October 9,4:25 PM,Dallas Cowboys,Los Angeles Rams,,,,
2022,5,Sun,October 9,8:20 PM,Cincinnati Bengals,Baltimore Ravens,,,,
2022,5,Mon,October 10,8:15 PM,Las Vegas Raiders,Kansas City Chiefs,,,,
2022,6,Thu,October 13,8:15 PM,Washington Football Team,Chicago Bears,,,,
2022,6,Sun,October 16,1:00 PM,San Francisco 49ers,Atlanta Falcons,,,,
2022,6,Sun,October 16,1:00 PM,New England Patriots,Cleveland Browns,,,,
2022,6,Sun,October 16,1:00 PM,Jacksonville Jaguars,Indianapolis Colts,,,,
2022,6,Sun,October 16,1:00 PM,New York Jets,Green Bay Packers,,,,
2022,6,Sun,October 16,1:00 PM,Minnesota Vikings,Miami Dolphins,,,,
2022,6,Sun,October 16,1:00 PM,Cincinnati Bengals,New Orleans Saints,,,,
2022,6,Sun,October 16,1:00 PM,Baltimore Ravens,New York Giants,,,,
2022,6,Sun,October 16,1:00 PM,Tampa Bay Buccaneers,Pittsburgh Steelers,,,,
2022,6,Sun,October 16,4:05 PM,Carolina Panthers,Los Angeles Rams,,,,
2022,6,Sun,October 16,4:05 PM,Arizona Cardinals,Seattle Seahawks,,,,
2022,6,Sun,October 16,4:25 PM,Buffalo Bills,Kansas City Chiefs,,,,
2022,6,Sun,October 16,8:20 PM,Dallas Cowboys,Philadelphia Eagles,,,,
2022,6,Mon,October 17,8:15 PM,Denver Broncos,Los Angeles Chargers,,,,
2022,7,Thu,October 20,8:15 PM,New Orleans Saints,Arizona Cardinals,,,,
2022,7,Sun,October 23,1:00 PM,Tampa Bay Buccaneers,Carolina Panthers,,,,
2022,7,Sun,October 23,1:00 PM,Atlanta Falcons,Cincinnati Bengals,,,,
2022,7,Sun,October 23,1:00 PM,Detroit Lions,Dallas Cowboys,,,,
2022,7,Sun,October 23,1:00 PM,New York Giants,Jacksonville Jaguars,,,,
2022,7,Sun,October 23,1:00 PM,Indianapolis Colts,Tennessee Titans,,,,
2022,7,Sun,October 23,1:00 PM,Cleveland Browns,Baltimore Ravens,,,,
2022,7,Sun,October 23,1:00 PM,Green Bay Packers,Washington Football Team,,,,
2022,7,Sun,October 23,4:05 PM,New York Jets,Denver Broncos,,,,
2022,7,Sun,October 23,4:05 PM,Houston Texans,Las Vegas Raiders,,,,
2022,7,Sun,October 23,4:25 PM,Seattle Seahawks,Los Angeles Chargers,,,,
2022,7,Sun,October 23,4:25 PM,Kansas City Chiefs,San Francisco 49ers,,,,
2022,7,Sun,October 23,8:20 PM,Pittsburgh Steelers,Miami Dolphins,,,,
